Date,Open,High,Low,Close,Volume
6/5/2024 16:00:00,208,208.57,206.29,208.33,338451
6/6/2024 16:00:00,209.59,210.94,209.28,210.04,245992
6/7/2024 16:00:00,206.5,207.7,206.2,206.36,537570
6/10/2024 16:00:00,207.5,208.61,207.28,208.02,268951
6/11/2024 16:00:00,206.5,207,204.5,205.31,250363
6/12/2024 16:00:00,207.52,207.52,205.58,205.65,245222
6/13/2024 16:00:00,200.25,200.38,198.18,199.35,528034
6/14/2024 16:00:00,196.5,197.79,195.42,197.13,483308
6/17/2024 16:00:00,193.2,195.67,193.2,195.2,453614
6/18/2024 16:00:00,193.89,194.73,193.45,194.14,347816
6/20/2024 16:00:00,194,194.74,193.31,194.54,234568
6/21/2024 16:00:00,193.7,194.2,193.38,193.58,284460
6/24/2024 16:00:00,197.5,199.43,197.27,198.98,375613
6/25/2024 16:00:00,205.5,206.61,205.13,206.22,517908
6/26/2024 16:00:00,203.55,204.22,202.38,203.18,306116
6/27/2024 16:00:00,203.4,204.94,203.34,203.88,284050
6/28/2024 16:00:00,205.07,206.27,204.41,204.97,273852
7/1/2024 16:00:00,204.8,205.13,203.21,203.71,267469
7/2/2024 16:00:00,205,206.21,204.75,206.21,259313
7/3/2024 13:00:00,205.87,206.31,205.17,206.25,212267
7/5/2024 16:00:00,206.29,206.55,205.09,206.45,190511
7/8/2024 16:00:00,204.72,205.67,204.3,204.94,200506
7/9/2024 16:00:00,203,203.19,201.67,201.67,230713
7/10/2024 16:00:00,204.63,206.18,203.78,205.88,209204
7/11/2024 16:00:00,205.31,205.65,203.73,203.73,246343
7/12/2024 16:00:00,206.53,208.86,206.03,207.59,218220
7/15/2024 16:00:00,208.18,208.21,206.76,206.91,207913
7/16/2024 16:00:00,206.23,206.81,205.68,206.6,206038
7/17/2024 16:00:00,204.73,205.15,203.31,204.39,266398
7/18/2024 16:00:00,201.93,202.22,199.54,199.85,292917
7/19/2024 16:00:00,199.28,199.28,197.03,197.15,236379
7/22/2024 16:00:00,198.7,200.15,198.12,200.14,315548
7/23/2024 16:00:00,200.18,201.33,200.03,200.79,283874
7/24/2024 16:00:00,199.79,199.79,197.08,197.2,211404
7/25/2024 16:00:00,197.43,197.43,193.73,195.25,212333
7/26/2024 16:00:00,190.74,192.84,190.51,192.52,317184
7/29/2024 16:00:00,193,193.2,191.81,192.48,205888
7/30/2024 16:00:00,194.96,195.48,192.27,193.11,284277
7/31/2024 16:00:00,194.18,194.89,192.9,193.55,372318
8/1/2024 16:00:00,181.57,184.68,178.57,179.07,820909
8/2/2024 16:00:00,173.72,173.89,171.5,173.02,674170
8/5/2024 16:00:00,160.89,170.95,159.04,168.35,1023943
8/6/2024 16:00:00,169.91,170.5,167.59,169.6,489778
8/7/2024 16:00:00,171.61,172.6,167.06,167.18,444632
8/8/2024 16:00:00,169.17,170.1,167.6,169.37,255002
8/9/2024 16:00:00,167.49,169.48,166.75,168.59,274487
8/12/2024 16:00:00,169,169.57,167.56,167.97,296537
8/13/2024 16:00:00,171.05,172.66,170.77,172.39,429098
8/14/2024 16:00:00,176.99,178.01,175.94,177.01,350406
8/15/2024 16:00:00,181.93,182.32,180.77,181.79,693483
8/16/2024 16:00:00,182.24,183.26,182,182.67,337340
8/19/2024 16:00:00,183.52,183.8,182.72,183.7,242684
8/20/2024 16:00:00,182.86,183.63,181.11,181.34,180405
8/21/2024 16:00:00,184.16,184.38,182.8,183.62,298350
8/22/2024 16:00:00,183.37,183.71,181.31,181.5,179895
8/23/2024 16:00:00,184.09,186,183.5,185.09,241860
8/26/2024 16:00:00,180.73,181.83,180.39,180.57,337565
8/27/2024 16:00:00,185.36,186.35,185.25,185.75,657287
8/28/2024 16:00:00,189.6,190.23,187.14,187.67,366430
8/29/2024 16:00:00,188.11,189.15,187.35,187.77,215603
8/30/2024 16:00:00,190,190.65,188.4,189.8,240715
9/3/2024 16:00:00,187.8,189.7,185.6,186.15,329844
9/4/2024 16:00:00,183.92,185.94,183.62,184.71,218261
9/5/2024 16:00:00,182.79,183.41,181.77,182.8,224551
9/6/2024 16:00:00,181.19,181.55,176.89,177.18,288730
9/9/2024 16:00:00,175.6,177.09,174.58,176.08,408351
9/10/2024 16:00:00,174.73,175.79,171.6,174.18,479244
9/11/2024 16:00:00,172.39,174.85,170.51,174.69,415192
